goal ,pledged ,backers ,currency ,main_category 
500,0,0,1,7
25000,22,4,1,7
1500,25,1,1,7
9900,3509,21,1,7
2500,2635,54,1,7
7500,7661,64,1,7
700,371,6,1,7
2000,2842,63,1,7
2000,2306,31,1,7
1500,1771,73,1,7
3000,3161,65,1,7
500,516,13,1,7
15000,15059,98,1,7
500,0,0,1,7
5000,50,1,1,7
350,31,2,1,7
25000,18578,63,1,7
150000,341,15,1,7
25,0,0,1,7
100,0,0,1,7
8000,0,0,1,7
20,1,1,1,7
3000,315,11,1,7
1350,2391,57,1,7
1250,31,5,1,7
2600,435,8,1,7
5000,0,0,1,7
7300,7730,95,1,7
600,1000,30,1,7
2000,2100,38,1,7
52000,3,3,1,7
2222,2297,19,1,7
5000,0,0,1,7
3000,140,3,1,7
50,0,0,1,7
5000,380,4,1,7
8000,4160,24,1,7
100,430,12,1,7
1500,115,3,1,7
600,893,21,1,7
1500,1525,17,1,7
5000,316,11,1,7
1000,1,1,1,7
800,610,25,1,7
15000,670,7,1,7
2000,128,4,1,7
2000,2650,20,1,7
1500,0,0,1,7
60,0,0,1,7
1000,1151,33,1,7
50000,3457,30,1,7
600,1369,27,1,7
4000,4027,29,1,7
3000,5449,55,1,7
10000,1761,30,1,7
500,585,27,1,7
200,118,4,1,7
3000,51,2,1,7
2000,20,1,1,7
3000,3132,58,1,7
3000,3030,46,1,7
1050,1915,27,1,7
1200,148,4,1,7
500,1,1,1,7
5000,5834,81,1,7
2500,100,1,1,7
35000,31,3,1,7
1200,1521,44,1,7
450,20,2,1,7
4000,4690,70,1,7
1500,2060,50,1,7
15000,1128,22,1,7
300,21,2,1,7
6500,50,1,1,7
15000,18809,298,1,7
65000,65,4,1,7
3000,26,4,1,7
1,834,78,1,7
8000,645,11,1,7
250,143,7,1,7
600,160,4,1,7
4000,0,0,1,7
10000,185,4,1,7
1000,388,16,1,7
4000,5601,50,1,7
2000,5060,51,1,7
250,0,0,1,7
3500,4872,146,1,7
34000,0,0,1,7
5250,25,1,1,7
4300,101,3,1,7
1500,126,3,1,7
50000,0,0,1,7
247,115,6,1,7
650,795,16,1,7
30000,98,12,1,7
1125,1160,24,1,7
650,170,11,1,7
2600,3048,50,1,7
14000,14247,272,1,7
1000,766,15,1,7
3000,3427,58,1,7
2300,2325,41,1,7
1900,0,0,1,7
15000,760,10,1,7
10000,0,0,1,7
47000,196,10,1,7
1800,0,0,1,7
200,204,8,1,7
250,937,58,1,7
300,408,16,1,7
2200,98,7,1,7
7500,7557,122,1,7
4300,5005,48,1,7
24999,425,23,1,7
25000,641,11,1,7
750,51,1,1,7
15000,25,1,1,7
2800,2807,53,1,7
1000,15122,312,1,7
3025,3576,35,1,7
8500,120,2,1,7
2500,35,3,1,7
1000,0,0,1,7
2200,21625,501,1,7
3400,122,5,1,7
300,467,37,1,7
10,0,0,1,7
3000,3081,88,1,7
300,140,3,1,7
550,1013,32,1,7
5000,50,1,1,7
5000,0,0,1,7
1200,215,8,1,7
2500,3126,44,1,7
19995,124,4,1,7
1000,1460,49,1,7
40500,2460,16,1,7
1500,0,0,1,7
1000,1,1,1,7
1000,1199,33,1,7
5000,1,1,1,7
325,746,18,1,7
5000,630,18,1,7
3657,3782,79,1,7
3500,3506,10,1,7
5525,95,5,1,7
8500,210,10,1,7
2250,0,0,1,7
2500,0,0,1,7
2000,5,1,1,7
1000,50,3,1,7
50,453,23,1,7
2200,3230,56,1,7
5000,0,0,1,7
880,55,1,1,7
3500,4108,56,1,7
10000,25,1,1,7
8500,100,1,1,7
4000,4096,62,1,7
4000,1705,13,1,7
72,195,15,1,7
5000,0,0,1,7
3000,3000,44,1,7
20000,3,3,1,7
6500,26417,487,1,7
1859,520,3,1,7
6000,895,14,1,7
1000,2115,61,1,7
1000,7,3,1,7
8000,8999,117,1,7
6000,0,0,1,7
1555,0,0,1,7
15000,3055,53,1,7
2500,2618,17,1,7
5000,5873,108,1,7
1000,1816,13,1,7
3000,3783,54,1,7
3500,180,3,1,7
3000,3409,71,1,7
30000,2521,22,1,7
3500,3741,24,1,7
200,0,0,1,7
235,453,18,1,7
5000,90,5,1,7
2000,0,0,1,7
2500,2600,14,1,7
20000,10,2,1,7
8000,8075,71,1,7
1500,90,4,1,7
350,446,18,1,7
7000,2085,22,1,7
2000,776,5,1,7
7500,25,1,1,7
300,75,8,1,7
2200,25,1,1,7
5250,0,0,1,7
1600,2415,31,1,7
3500,3992,41,1,7
2500,2547,61,1,7
2500,2551,33,1,7
250,464,32,1,7
400,78,2,1,7
7200,7611,102,1,7
2000,650,6,1,7
1500,0,0,1,7
12750,25,3,1,7
820,1683,37,1,7
9560,12421,60,1,7
333,28,1,1,7
1200,1784,25,1,7
2400,3390,48,1,7
36000,0,0,1,7
350,140,5,1,7
600,155,6,1,7
3000,15,1,1,7
1500,1710,15,1,7
1500,1885,33,1,7
200,200,7,1,7
2260,437,10,1,7
75000,5,1,1,7
8000,150,3,1,7
10525,110,3,1,7
450,565,5,1,7
5000,100,1,1,7
1200,125,2,1,7
800,342,15,1,7
50,0,0,1,7
5000,5550,88,1,7
2500,195,5,1,7
6000,2233,46,1,7
5000,60,3,1,7
3000,885,9,1,7
400,120,4,1,7
20000,20341,149,1,7
